filename,epsilon,mean-size-of-PF,no-evals
wc-c3-3d-c1,0.08,140.59999999999999,140.59999999999999
wc-c3-3d-c1,0.2,103.125,103.125
wc-c3-3d-c1,0.02,191.97499999999999,191.97499999999999
wc-c3-3d-c1,0.3,91.75,91.75
wc-c3-3d-c1,0.01,199.67500000000001,199.67500000000001
wc-c3-3d-c1,0.04,166.52500000000001,166.52500000000001
wc-c3-3d-c1,0.16,101.575,101.575
wc-c3-3d-c1,0.12,140.09999999999999,140.09999999999999
wc+sol-3d-c4,0.08,104.175,104.175
wc+sol-3d-c4,0.2,89.099999999999994,89.099999999999994
wc+sol-3d-c4,0.02,117.95,117.95
wc+sol-3d-c4,0.3,79.224999999999994,79.224999999999994
wc+sol-3d-c4,0.01,131.72499999999999,131.72499999999999
wc+sol-3d-c4,0.04,123.77500000000001,123.77500000000001
wc+sol-3d-c4,0.16,88.924999999999997,88.924999999999997
wc+sol-3d-c4,0.12,96.049999999999997,96.049999999999997
sol-6d-c2,0.08,523.89473684210532,531.63157894736844
sol-6d-c2,0.2,361.36842105263156,361.36842105263156
sol-6d-c2,0.02,726.10526315789468,726.10526315789468
sol-6d-c2,0.3,445.05263157894734,445.05263157894734
sol-6d-c2,0.01,986.68421052631584,986.68421052631584
sol-6d-c2,0.04,327.57894736842104,327.57894736842104
sol-6d-c2,0.16,220.0,227.10526315789474
sol-6d-c2,0.12,545.47368421052636,545.47368421052636
wc-3d-c4,0.08,175.82499999999999,175.82499999999999
wc-3d-c4,0.2,74.724999999999994,74.724999999999994
wc-3d-c4,0.02,148.42500000000001,148.42500000000001
wc-3d-c4,0.3,71.349999999999994,71.349999999999994
wc-3d-c4,0.01,246.625,246.625
wc-3d-c4,0.04,129.17500000000001,129.17500000000001
wc-3d-c4,0.16,98.625,98.625
wc-3d-c4,0.12,124.65000000000001,124.65000000000001
wc+wc-3d-c4,0.08,102.90000000000001,102.90000000000001
wc+wc-3d-c4,0.2,83.5,83.5
wc+wc-3d-c4,0.02,124.95,124.95
wc+wc-3d-c4,0.3,82.825000000000003,82.825000000000003
wc+wc-3d-c4,0.01,127.15000000000001,127.15000000000001
